Timestamp,"Generation, Active Gross Power (MW)","Generation, Reactive Gross Power (MVAR)","OEC, Exhaust Pressure Turbine CW (Bara)","OEC, Exhaust Pressure Turbine CCW (Bara)",Ambient Temp (C),"Spesific Steam - Brine, Consumption (kg/MW)","Steam, Main Steam Press (barg)","Steam, Main Steam Temp (C)","Brine, Brine Header Press (barg)","Brine, Brine Header Temp (C)","IJN-6-1, WHP (barg)","IJN-6-1, Valve Open (%)","IJN-6-1, 2 Phase Line Press (barg)","IJN-6-1, 2 Phase Line Temp (C)","IJN-6-2, WHP (barg)","IJN-6-2, Valve Open (%)","IJN-6-2, 2 Phase Line Press (barg)","IJN-6-2, 2 Phase Line Temp (C)","IJN-6-3, WHP (barg)","IJN-6-3, Valve Open (%)","IJN-6-3, 2 Phase Line Press (barg)","IJN-6-3, 2 Phase Line Temp (C)","IJN-6-4, WHP (barg)","IJN-6-4, Valve Open (%)","IJN-6-4, 2 Phase Line Press (barg)","IJN-6-4, 2 Phase Line Temp (C)","Pad 6, Separator Temp (C)","Pad 6, Separator Pressure (barg)","Pad 6, Steam Flow (kg/s)","IJN-8-1, WHP (barg)","IJN-8-1, Valve Open (%)","IJN-8-1, 2 Phase Line Press (barg)","IJN-8-1, 2 Phase Line Temp (C)","IJN-8-2, WHP (barg)","IJN-8-2, Valve Open (%)","IJN-8-2, 2 Phase Line Press (barg)","IJN-8-2, 2 Phase Line Temp (C)","Pad 8, Separator Temp (C)","Pad 8, Separator Pressure (barg)","Pad 8, Separator Temp (kg/s)","Pad 6 & Pad 8, Main Steam Flowrate (kg/s)","Pad 6 & Pad 8, Brine Flowrate (kg/s)","Pad 6 & Pad 8, Total Flowrate (kg/s)","IJN-5-1, Injection Press (Bara)","IJN-5-1, Injection Flow (kg/s)","IJN-5-1, Injection Temp (C)","IJN-5-1, Valve Open (%)","IJN-5-1, WHP (barg)","DUPE, IGNORE (1)","DUPE, IGNORE(2)","Header Reinjection Pump, Temperature (C)","Header Reinjection Pump, Pressure (Bara)","Brine Bypass Pre-heater, Opening CV-A (%)","Brine Bypass Pre-heater, Opening CV-B (%)","Preheater, Outlet Temp (C)","Separator IJN-6, Opening Brine Dump Valve A (%)","Separator IJN-6, Opening Brine Dump Valve B (%)","Separator IJN-8, Opening Brine Dump Valve A (%)","Separator IJN-8, Opening Brine Dump Valve B (%)","Rock Muffler, Opening Steam Dump Valve A (%)","Rock Muffler, Opening Steam Dump Valve B (%)",Source DGR,Delta Pressure_Barg
15-06-2025 0100H,34.572,3.1,0.807,0.823,18.712,3.82,12.99,193.962,13.989,194.2,27.895,20.038,14.107,198.501,29.44,20.701,13.899,196.321,19.409,39.904,14.189,196.942,20.54,38.681,14.093,197.448,195.629,13.434,44.819,6.133,9.97,0.0,81.609,22.503,42.179,13.655,192.206,195.459,13.319,2.743,52.525,79.525,132.05,7.428,127.711,91.693,12.891,6.289,13.989,194.2,88.899,13.342,1.173,0.456,91.17,0.107,0.146,0.069,0.085,1.546,1.051,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0200H,34.342,1.413,0.804,0.818,18.344,3.432,12.989,193.936,13.702,194.021,27.605,20.043,14.089,198.43,29.498,20.27,13.888,196.268,19.562,40.257,14.189,196.897,20.468,37.85,14.069,197.452,195.596,13.429,44.698,6.113,9.969,0.0,81.674,22.525,41.883,13.655,192.201,195.39,13.317,3.074,50.885,66.978,117.863,7.067,126.23,91.657,12.891,5.953,13.702,194.021,88.353,13.009,1.088,0.368,90.933,0.107,0.144,0.069,0.085,0.903,0.4,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0300H,34.221,0.778,0.815,0.828,17.489,3.46,12.874,193.541,13.648,193.677,27.411,20.051,13.965,198.052,29.548,19.877,13.768,195.857,19.414,38.43,14.041,196.449,20.439,39.565,13.972,196.98,195.203,13.312,44.514,6.132,9.972,0.0,81.662,22.526,43.506,13.554,191.83,195.019,13.207,3.912,51.008,67.385,118.394,6.975,125.966,91.582,12.891,5.862,13.648,193.677,88.045,12.969,1.09,0.365,90.934,0.108,0.137,0.069,0.085,0.899,0.4,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0400H,34.391,1.005,0.799,0.811,16.834,3.854,12.878,193.553,13.88,193.758,27.259,20.058,13.957,198.04,29.596,19.881,13.764,195.816,19.342,37.617,14.021,196.225,20.794,40.279,13.993,196.97,195.193,13.311,44.211,6.256,9.976,0.0,81.577,22.474,44.232,13.56,191.728,195.077,13.213,3.849,51.315,81.232,132.547,7.133,127.563,91.702,12.89,5.99,13.88,193.758,88.217,13.213,1.092,0.366,91.076,0.108,0.135,0.069,0.085,0.896,0.399,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0500H,34.533,1.603,0.781,0.79,16.824,3.805,13.012,193.965,14.067,193.921,27.11,19.989,14.092,198.431,29.643,19.808,13.904,196.205,19.879,39.259,14.198,196.646,20.728,39.357,14.121,197.486,195.595,13.444,44.283,6.368,9.973,0.0,81.494,22.43,43.225,13.679,191.996,195.459,13.341,3.407,49.291,82.104,131.395,7.183,128.622,91.965,12.89,6.019,14.067,193.921,88.425,13.381,1.088,0.366,90.619,0.107,0.141,0.069,0.085,0.899,0.398,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0600H,34.46,2.061,0.798,0.809,17.672,3.928,13.076,194.181,14.38,194.25,26.582,19.42,14.158,198.581,29.688,19.63,13.976,196.519,20.115,41.235,14.3,197.029,20.507,39.027,14.186,197.691,195.781,13.501,43.964,6.433,9.972,0.0,81.464,22.443,43.827,13.74,192.235,195.633,13.401,3.62,48.702,86.66,135.362,7.635,132.104,91.959,12.891,6.406,14.38,194.25,89.002,13.666,1.077,0.366,91.173,0.108,0.14,0.069,0.086,0.898,0.402,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0700H,34.431,2.684,0.822,0.839,19.001,4.037,13.002,193.978,14.418,194.396,26.642,18.525,14.097,198.401,29.721,19.643,13.914,196.469,19.569,41.961,14.201,196.803,20.54,39.606,14.146,197.725,195.597,13.433,44.045,6.311,9.978,0.0,81.623,22.473,45.921,13.686,192.257,195.452,13.331,3.49,51.486,87.523,139.008,7.872,133.343,92.439,12.893,6.628,14.418,194.396,89.321,13.709,1.046,0.366,92.169,0.111,0.124,0.072,0.089,0.87,0.402,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0800H,34.575,3.359,0.844,0.863,19.711,3.981,12.984,193.955,14.305,194.335,27.17,18.126,14.127,198.477,29.761,19.764,13.929,196.519,19.371,41.97,14.193,196.791,20.778,39.459,14.16,197.958,195.648,13.44,44.915,6.086,9.978,0.0,81.954,22.499,46.118,13.689,192.405,195.445,13.315,3.307,54.729,82.928,137.657,7.539,130.766,92.502,12.897,6.351,14.305,194.335,88.741,13.595,0.995,0.349,92.702,0.114,0.115,0.076,0.093,1.445,4.202,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 0900H,34.508,4.065,0.868,0.888,20.332,3.987,12.94,193.805,14.256,194.264,27.183,18.122,14.116,198.362,29.82,19.525,13.912,196.386,19.492,41.983,14.194,196.756,20.72,39.608,14.115,197.538,195.526,13.407,45.223,5.708,9.979,0.0,82.315,22.507,46.128,13.66,192.339,195.284,13.271,3.696,55.57,82.024,137.594,7.373,130.131,92.103,12.9,6.199,14.256,194.264,88.922,13.535,0.951,0.309,91.848,0.116,0.117,0.078,0.094,1.291,6.375,Daily Generation Report_2025.06.15.xlsx,
15-06-2025 1000H,34.523,4.989,0.894,0.913,21.067,4.002,12.901,193.629,14.267,194.07,27.117,18.123,14.089,198.213,29.858,18.652,13.884,196.227,19.442,41.992,14.174,196.611,20.745,40.268,14.082,197.165,195.352,13.371,45.336,5.333,9.986,0.0,82.608,22.489,46.784,13.626,192.162,195.101,13.233,3.77,54.03,84.137,138.167,7.471,131.084,92.385,12.902,6.281,14.267,194.07,89.547,13.54,0.946,0.276,91.612,0.117,0.117,0.098,2.748,0.528,4.433,Daily Generation Report_2025.06.15.xlsx,
